test_id,test_points,estop_state,expected_result,measured_value,result,operator_timestamp_ist,notes
U01,Pi physical pin 2 to fuse input,either,0-1 ohm,,,,
U02,Removed 1 A fuse end to end,either,0-1 ohm,,,,
U03,Fuse holder output to FUSED_5V row 12,either,0-1 ohm,,,,
U04,FUSED_5V to capacitor positive,either,0-1 ohm,,,,
U05,FUSED_5V to measured K1 COM,either,0-1 ohm,,,,
U06,Pi physical pin 25 to ground row 13,either,0-1 ohm,,,,
U07,Pi physical pin 25 to relay DC-,either,0-1 ohm,,,,
U08,Pi physical pin 25 to BC547B emitter row C6,either,0-1 ohm,,,,
U09,Pi physical pin 25 to capacitor negative stripe,either,0-1 ohm,,,,
U10a,Pi physical pin 25 to red indicator negative,either,0-1 ohm,,,,
U10b,Pi physical pin 25 to green indicator negative,either,0-1 ohm,,,,
U11,Pi physical pin 16 through resistor to BC547B base C5,either,0.95-1.05 kohm,,,,
U12,BC547B base row resistor to emitter row,either,record installed 10 kohm path and probe direction,,,,
U13,BC547B collector C4 to relay CH1,either,0-1 ohm,,,,
U14,Shared pin 17 3.3 V hub to relay trigger COM,either,0-1 ohm,,,,
U15,FUSED_5V to relay DC+,reset,0-1 ohm,,,,
U16,FUSED_5V to relay DC+,latched,OL,,,,
U17,Pi physical pin 18 to pin 20,reset,0-1 ohm,,,,
U18,Pi physical pin 18 to pin 20,latched,OL,,,,
U19,Measured K1 COM to K1 NC,relay unpowered,0-1 ohm,,,,
U20,Measured K1 COM to K1 NO,relay unpowered,OL,,,,
S01,FUSED_5V to common ground,latched fuse removed,no sustained continuity beep,,,,
S02,Pi 3.3 V hub to Pi 5 V,latched fuse removed,no continuity beep,,,,
S03,Pi physical pin 16 GPIO23 to Pi 5 V,latched fuse removed,no continuity beep,,,,
S04,BC547B collector to emitter,latched fuse removed,no sustained continuity beep,,,,
S05,E-stop NC1 pair to NC2 pair,latched fuse removed,no cross-continuity,,,,
